scraping from urls:
https://www.pinnaclesports.com/League/Basketball/NCAA/1/Lines.aspx
https://raw.githubusercontent.com/fivethirtyeight/data/master/march-madness-predictions-2015/mens/bracket-06.tsv

team_name                money_line               line_win_per             silver_win_per           roi                      1/4 kelly                
Oklahoma State           2.12                     0.4716981132075471       0.593890539342           0.25904794340504         0.05782320165291071      
Georgia                  3.13                     0.3194888178913738       0.37754810585            0.18172557131049993      0.021329292407335675     
Georgia State            4.81                     0.2079002079002079       0.241545786979           0.16183523536898992      0.01061910993234842      
UC Irvine                4.55                     0.21978021978021978      0.255024750679           0.16036261558944986      0.011293141942919005     
St. John's               2.59                     0.3861003861003861       0.417615887611           0.08162514891248995      0.012834142910768861     
Utah                     1.312                    0.7621951219512195       0.822513227646           0.07913735467155203      0.06341134188425643      
Maryland                 1.5                      0.6666666666666666       0.71732975654            0.07599463480999996      0.03799731740499998      
Iowa                     1.714                    0.5834305717619603       0.623859883167           0.06929583974823805      0.024263249211567948     
Northern Iowa            1.4                      0.7142857142857143       0.752684555768           0.0537583780751999       0.03359898629699994      
West Virginia            1.512                    0.6613756613756614       0.682463058399           0.03188414429928804      0.01556842983363674      
North Carolina           1.195                    0.8368200836820083       0.860863804632           0.028732246535240008     0.036836213506717945     
Kansas                   1.153                    0.8673026886383347       0.889897491993           0.026051808267928966     0.04256831416328262      
Purdue                   2.21                     0.45248868778280543      0.46311297953            0.023479684761300024     0.004851174537458682     
Notre Dame               1.133                    0.8826125330979699       0.899272913857           0.018876211399981038     0.035481600375904206     
Ohio State               1.588                    0.6297229219143576       0.636068036853           0.010076042522564        0.004284031684763605     
North Carolina State     1.714                    0.5834305717619603       0.589299423188           0.010059211344231989     0.0035221328236106405    
Wisconsin                1.025                    0.9756097560975611       0.984445020667           0.009056146183674927     0.0905614618367496       
Arizona                  1.015                    0.9852216748768474       0.993295046111           0.008194471802664848     0.13657453004441503      
UAB                      10.91                    0.09165902841429881      0.0921031919474          0.004845824146134103     0.00012224581599732854   
Gonzaga                  1.029                    0.9718172983479106       0.974276799349           0.00253082653012094      0.021817470087249546     
Virginia                 1.04                     0.9615384615384615       0.96373165892            0.0022809252768000443    0.014255782980000265     
Wichita State            1.4                      0.7142857142857143       0.715652526737           0.0019135374317998943    0.0011959608948749342    
Butler                   2.2                      0.45454545454545453      0.455061866896           0.0011361071712000514    0.00023668899400001067   
Villanova                1.016                    0.984251968503937        0.984937649869           0.0006966522669040222    0.010885191670375337     
Tenn Martin              2.24                     0.4464285714285714       0                        0                        0                        
Northwestern State       1.714                    0.5834305717619603       0                        0                        0                        
Kentucky                 1.001                    0.9990009990009991       0.999000987185           -1.182781514332161e-08   0                        
Southern Methodist       1.555                    0.6430868167202572       0.642861058316           -0.00035105431861998104  0                        
Xavier                   1.74                     0.5747126436781609       0.567156901744           -0.013146990965439975    0                        
Eastern Washington       4.359                    0.22941041523285158      0.226081898571           -0.014509004129011016    0                        
Arkansas                 1.294                    0.7727975270479134       0.760941357071           -0.015341883950126006    0                        
Oklahoma                 1.09                     0.9174311926605504       0.90189781321            -0.016931383601099984    0                        
Iowa State               1.066                    0.9380863039399624       0.907896808053           -0.032182002615501956    0                        
Georgetown               1.25                     0.8                      0.773918101429           -0.032602373213750035    0                        
Ole Miss                 2.2                      0.45454545454545453      0.432843098256           -0.04774518383679993     0                        
Texas                    1.74                     0.5747126436781609       0.544938133104           -0.05180764839904006     0                        
Wofford                  3.9                      0.25641025641025644      0.239058642929           -0.06767129257689997     0                        
Cincinnati               1.735                    0.5763688760806917       0.53688702047            -0.0685010194845499      0                        
UCLA                     2.59                     0.3861003861003861       0.357138941684           -0.07501014103843995     0                        
Baylor                   1.217                    0.8216926869350862       0.758454213021           -0.07696122275344291     0                        
Louisville               1.235                    0.8097165991902834       0.744975249321           -0.07995556708856491     0                        
LSU                      2.24                     0.4464285714285714       0.410700576812           -0.08003070794111988     0                        
Virginia Commonwealth    2.5                      0.4                      0.363931963147           -0.09017009213250005     0                        
San Diego State          1.555                    0.6430868167202572       0.582384112389           -0.09439270523510501     0                        
Indiana                  3.18                     0.31446540880503143      0.284347473263           -0.09577503502366003     0                        
Michigan State           1.408                    0.7102272727272728       0.62245189415            -0.12358773303680004     0                        
Buffalo                  2.719                    0.3677822728944465       0.317536941601           -0.1366170557868811      0                        
Davidson                 2.24                     0.4464285714285714       0.376140116833           -0.15744613829407983     0                        
Albany                   8.43                     0.11862396204033215      0.0981021867898          -0.1729985653619861      0                        
Wyoming                  3.18                     0.31446540880503143      0.247315444232           -0.21353688734223997     0                        
Valparaiso               2.76                     0.3623188405797102       0.28267024346            -0.21983012805039998     0                        
Oregon                   1.793                    0.5577244841048522       0.406109460658           -0.271845737040206       0                        
Harvard                  5.19                     0.19267822736030826      0.139136195368           -0.2778831460400799      0                        
Northeastern             6.81                     0.14684287812041116      0.100727086143           -0.31404854336617005     0                        
New Mexico State         6.16                     0.16233766233766234      0.110102508007           -0.32176855067688004     0                        
Stephen F. Austin        3.74                     0.267379679144385        0.177486772354           -0.3361994713960399      0                        
Belmont                  14.79                    0.0676132521974307       0.0362683410801          -0.463591235425321       0                        
North Dakota State       16.57                    0.060350030175015085     0.0257232006508          -0.573766565216244       0                        
Lafayette                21.97                    0.04551661356395084      0.0150623501314          -0.6690801676131419      0                        
Coastal Carolina         18.68                    0.05353319057815846      0.0155549793334          -0.709432986052088       0                        
Hampton                  151.0                    0.006622516556291391     0.000999012815292        -0.8491490648909079      0                        
Texas Southern           18.14                    0.05512679162072767      0.00670495388921         -0.8783721364497306      0                        
