scraping from urls:
https://www.pinnaclesports.com/League/Basketball/NCAA/1/Lines.aspx
https://raw.githubusercontent.com/fivethirtyeight/data/master/march-madness-predictions-2015/mens/bracket-26.tsv

date                     team_name                money_line               line_win_per             silver_win_per           roi                      1/4 kelly                
Fri 3/20 06:40 PM        St. John's               2.76                     0.3623188405797102       0.417615887611           0.1526198498063599       0.021678955938403396     
Sat 3/21 03:00 PM        Georgia State            3.74                     0.267379679144385        0.304786494311           0.13990148872314012      0.01276473437254928      
Sat 3/21 07:45 PM        Utah                     1.555                    0.6430868167202572       0.709116140418           0.1026755983499899       0.046250269527022485     
Fri 3/20 06:55 PM        Dayton                   2.24                     0.4464285714285714       0.48638736493            0.08950769744320008      0.01804590674258066      
Fri 3/20 04:35 PM        Iowa                     1.704                    0.5868544600938967       0.623859883167           0.063057240916568        0.022392486120940344     
Sat 3/21 04:10 PM        Villanova                1.2                      0.8333333333333334       0.875217659775           0.05026119172999996      0.06282648966249997      
Sat 3/21 09:10 AM        UAB                      3.05                     0.3278688524590164       0.334348322079           0.019762382340949958     0.002410046626945117     
Sat 3/21 06:40 PM        North Carolina           1.512                    0.6613756613756614       0.673780947904           0.018756793230848        0.00915859044475         
Fri 3/20 07:20 PM        Gonzaga                  1.04                     0.9615384615384615       0.974276799349           0.013247871322960056     0.08279919576850027      
Fri 3/20 06:20 PM        Wisconsin                1.02                     0.9803921568627451       0.984445020667           0.004133921080340032     0.051674013504250355     
Sat 3/21 06:40 PM        Butler                   2.67                     0.37453183520599254      0.375343398017           0.002166872705389955     0.00032438214152544237   
Sat 3/21 07:00 PM        Sacramento State         1.602                    0.6242197253433208       0                        0                        0                        
Fri 3/20 04:00 PM        High Point               3.13                     0.3194888178913738       0                        0                        0                        
Fri 3/20 06:30 PM        South Dakota State       4.439                    0.22527596305474207      0                        0                        0                        
Fri 3/20 04:00 PM        Eastern Kentucky         1.409                    0.7097232079488999       0                        0                        0                        
Sat 3/21 10:00 AM        Bowling Green            1.263                    0.7917656373713381       0                        0                        0                        
Sat 3/21 07:00 PM        Northern Arizona         2.469                    0.40502227622519243      0                        0                        0                        
Sat 3/21 08:00 AM        Alabama                  2.719                    0.3677822728944465       0                        0                        0                        
Sat 3/21 08:00 AM        Miami Florida            1.512                    0.6613756613756614       0                        0                        0                        
Fri 3/20 06:30 PM        Vanderbilt               1.243                    0.8045052292839903       0                        0                        0                        
Sat 3/21 02:00 PM        Tenn Martin              2.46                     0.4065040650406504       0                        0                        0                        
Sat 3/21 12:00 PM        UL Lafayette             3.26                     0.3067484662576687       0                        0                        0                        
Sat 3/21 10:00 AM        Canisius                 4.21                     0.23752969121140144      0                        0                        0                        
Sat 3/21 02:00 PM        USC Upstate              1.606                    0.62266500622665         0                        0                        0                        
Sat 3/21 12:00 PM        Sam Houston State        1.384                    0.7225433526011561       0                        0                        0                        
Fri 3/20 04:10 PM        Duke                     1.014                    0.9861932938856016       0.981596636733           -0.004661010352737971    0                        
Sat 3/21 02:15 PM        Ohio State               5.11                     0.19569471624266144      0.194055480537           -0.008376494455929917    0                        
Fri 3/20 04:25 PM        Oklahoma                 1.09                     0.9174311926605504       0.90189781321            -0.016931383601099984    0                        
Sat 3/21 02:40 PM        Kentucky                 1.045                    0.9569377990430623       0.935452437564           -0.022452202745620084    0                        
Sat 3/21 02:15 PM        Arizona                  1.2                      0.8333333333333334       0.805944519463           -0.03286657664439996     0                        
Sat 3/21 06:40 PM        Notre Dame               1.526                    0.655307994757536        0.624656601983           -0.046774025373941985    0                        
Sat 3/21 09:10 AM        UCLA                     1.425                    0.7017543859649122       0.665651677921           -0.05144635896257499     0                        
Sat 3/21 03:00 PM        Xavier                   1.312                    0.7621951219512195       0.695213505689           -0.08787988053603199     0                        
Sat 3/21 06:40 PM        Arkansas                 2.719                    0.3677822728944465       0.326219052096           -0.11301039735097607     0                        
Fri 3/20 06:55 PM        Providence               1.714                    0.5834305717619603       0.51361263507            -0.11966794349002002     0                        
Fri 3/20 06:40 PM        San Diego State          1.5                      0.6666666666666666       0.582384112389           -0.1264238314165         0                        
Fri 3/20 04:35 PM        Davidson                 2.26                     0.4424778761061947       0.376140116833           -0.14992333595741997     0                        
Sat 3/21 02:40 PM        Cincinnati               13.12                    0.07621951219512195      0.0645475624357          -0.1531359808436159      0                        
Fri 3/20 04:25 PM        Albany                   8.43                     0.11862396204033215      0.0981021867898          -0.1729985653619861      0                        
Sat 3/21 07:45 PM        Georgetown               2.59                     0.3861003861003861       0.290883859582           -0.24661080368261995     0                        
Sat 3/21 04:10 PM        North Carolina State     5.11                     0.19569471624266144      0.124782340225           -0.36236224145025        0                        
Fri 3/20 04:10 PM        Robert Morris            23.14                    0.043215211754537596     0.0184033632666          -0.574146174010876       0                        
Fri 3/20 07:20 PM        North Dakota State       14.79                    0.0676132521974307       0.0257232006508          -0.619553862374668       0                        
Fri 3/20 06:20 PM        Coastal Carolina         18.52                    0.05399568034557235      0.0155549793334          -0.711921782745432       0                        
