scraping from urls:
https://www.pinnaclesports.com/League/Basketball/NCAA/1/Lines.aspx
https://raw.githubusercontent.com/fivethirtyeight/data/master/march-madness-predictions-2015/mens/bracket-33.tsv

date                     team_name                spread      implied_pts silver_pts  money_line  line_win_per             silver_win_per           roi                      
Sat 3/21 04:45 PM        Utah                     -4          -4          -5          1.518       0.6587615283267457       0.709116140418           0.07643830115452399      
Sat 3/21 03:10 PM        Georgia State            +7          7           6           3.53        0.28328611898017         0.304786494311           0.07589632491783005      
Sat 3/21 04:10 PM        Villanova                -9.5        -11         -12         1.182       0.8460236886632826       0.875217659775           0.03450727385404995      
Sat 3/21 09:10 AM        UAB                      +5.5        5           5           3.05        0.3278688524590164       0.334348322079           0.019762382340949958     
Sat 3/21 05:40 PM        North Carolina           -4.5        -4          -4          1.512       0.6613756613756614       0.673780947904           0.018756793230848        
Sat 3/21 07:00 PM        Sacramento State         -3.5        -3          22          1.602       0.6242197253433208       0                        0                        
Sat 3/21 10:00 AM        Bowling Green            -8          -8          22          1.263       0.7917656373713381       0                        0                        
Sat 3/21 10:00 AM        Canisius                 +8          8           22          4.21        0.23752969121140144      0                        0                        
Sat 3/21 08:00 AM        Miami Florida            -4.5        -4          22          1.512       0.6613756613756614       0                        0                        
Sat 3/21 08:00 AM        Alabama                  +4.5        4           22          2.719       0.3677822728944465       0                        0                        
Sat 3/21 07:00 PM        Northern Arizona         +3.5        3           22          2.469       0.40502227622519243      0                        0                        
Sat 3/21 12:00 PM        Sam Houston State        -6          -6          22          1.384       0.7225433526011561       0                        0                        
Sat 3/21 03:00 PM        Tenn Martin              +3.5        3           22          2.46        0.4065040650406504       0                        0                        
Sat 3/21 12:00 PM        UL Lafayette             +6          6           22          3.26        0.3067484662576687       0                        0                        
Sat 3/21 03:00 PM        USC Upstate              -3.5        -3          22          1.606       0.62266500622665         0                        0                        
Sat 3/21 02:15 PM        Ohio State               +9          10          10          5.11        0.19569471624266144      0.194055480537           -0.008376494455929917    
Sat 3/21 06:40 PM        Butler                   +4.5        3           4           2.62        0.38167938931297707      0.375343398017           -0.016600297195459968    
Sat 3/21 11:40 AM        Kentucky                 -16.5       -17         -15         1.045       0.9569377990430623       0.935452437564           -0.022452202745620084    
Sat 3/21 02:15 PM        Arizona                  -9          -10         -9          1.2         0.8333333333333334       0.805944519463           -0.03286657664439996     
Sat 3/21 06:40 PM        Notre Dame               -4.5        -4          -3          1.543       0.6480881399870383       0.624656601983           -0.03615486314023103     
Sat 3/21 09:10 AM        UCLA                     -5.5        -5          -4          1.425       0.7017543859649122       0.665651677921           -0.05144635896257499     
Sat 3/21 03:10 PM        Xavier                   -7          -7          -5          1.34        0.7462686567164178       0.695213505689           -0.06841390237673997     
Sat 3/21 05:40 PM        Arkansas                 +4.5        4           5           2.719       0.3677822728944465       0.326219052096           -0.11301039735097607     
Sat 3/21 11:40 AM        Cincinnati               +16.5       17          17          13.12       0.07621951219512195      0.0645475624357          -0.1531359808436159      
Sat 3/21 04:45 PM        Georgetown               +4          4           6           2.7         0.37037037037037035      0.290883859582           -0.21461357912859985     
Sat 3/21 04:10 PM        North Carolina State     +9.5        11          14          5.45        0.18348623853211007      0.124782340225           -0.31993624577375        
