scraping from urls:
https://www.pinnaclesports.com/League/Basketball/NCAA/1/Lines.aspx
https://raw.githubusercontent.com/fivethirtyeight/data/master/march-madness-predictions-2015/mens/bracket-48.tsv

date                     team_name                spread      implied_pts silver_pts  money_line  line_win_per             silver_win_per           roi                      1/4 kelly                
Thu 3/26 06:45 PM        West Virginia            +13         15          14          9.94        0.1006036217303823       0.126759604995           0.2599904736502998       0.007270427115500555     
Thu 3/26 04:15 PM        Notre Dame               +1          1           0           2.13        0.4694835680751174       0.527441397872           0.12345017746735987      0.027311986165345106     
Fri 3/27 04:15 PM        UCLA                     +8.5        9           8           4.439       0.22527596305474207      0.243633594917           0.08148952783656305      0.005923926129439012     
Fri 3/27 04:35 PM        North Carolina State     +2.5        2           2           2.24        0.4464285714285714       0.447315247978           0.001986155470720119     0.00040043457070970136   
Mon 3/23 07:00 PM        Seattle U                +5          5           22          2.969       0.33681374200067365      0                        0                        0                        
Mon 3/23 07:00 PM        Colorado                 -5          -5          22          1.444       0.6925207756232687       0                        0                        0                        
Fri 3/27 07:15 PM        Utah                     +5          5           5           2.889       0.34614053305642095      0.344584812111           -0.004494477811321063    0                        
Fri 3/27 06:45 PM        Oklahoma                 +2          1           1           2.16        0.4629629629629629       0.459757726236           -0.006923311330239934    0                        
Thu 3/26 07:15 PM        Arizona                  -11         -12         -12         1.142       0.8756567425569177       0.868555037078           -0.008110147656924124    0                        
Thu 3/26 04:47 PM        Wisconsin                -5.5        -5          -5          1.408       0.7102272727272728       0.69390661084            -0.022979491937279994    0                        
Fri 3/27 07:15 PM        Duke                     -5          -5          -4          1.465       0.68259385665529         0.655415187889           -0.039816749742614954    0                        
Thu 3/26 04:47 PM        North Carolina           +5.5        5           6           3.13        0.3194888178913738       0.30609338916            -0.041927691929200095    0                        
Fri 3/27 06:45 PM        Michigan State           -2          -1          -1          1.769       0.5652911249293386       0.540242273764           -0.044311417711484       0                        
Fri 3/27 04:35 PM        Louisville               -2.5        -2          -1          1.714       0.5834305717619603       0.552684752022           -0.05269833503429211     0                        
Fri 3/27 04:15 PM        Gonzaga                  -8.5        -9          -7          1.243       0.8045052292839903       0.756366405083           -0.05983655848183089     0                        
Thu 3/26 06:45 PM        Kentucky                 -13         -15         -12         1.076       0.929368029739777        0.873240395005           -0.06039333497462        0                        
Thu 3/26 07:15 PM        Xavier                   +11         12          13          6.49        0.15408320493066255      0.131444962922           -0.14692219063621992     0                        
Thu 3/26 04:15 PM        Wichita State            -1          -1          1           1.787       0.5595970900951315       0.472558602128           -0.1555377779972641      0                        
